day,actionname,type,times
2020-06-26,OPEN REPORT,Excel Extract #1 New,16
2020-06-25,OPEN REPORT,Excel Extract #1,1
2020-06-25,OPEN REPORT,Excel Extract #1 New,23
2020-06-24,OPEN REPORT,Excel Extract #1 New,18
2020-06-24,OPEN REPORT,Excel Extract SC,1
2020-06-24,OPEN REPORT,Excel Extract AP/BUYER,1
2020-06-23,OPEN REPORT,Excel Extract #1 New,25
2020-06-23,OPEN REPORT,Seasonal Info,1
2020-06-22,OPEN REPORT,Store Info Extract,1
2020-06-22,OPEN REPORT,Excel Extract #1 New,19
2020-06-22,OPEN REPORT,Excel Extract AP/BUYER,1
